,landmark,bbl,yearbuilt,yearalter1,yearalter2,histdist,xcoord,ycoord,FISCAL_YEAR,ATS SYSTEM CODE,LOCATION_CODE,LOCATION_NAME,BEDS NUMBER,MANAGED_BY_NAME,LOCATION_TYPE_DESCRIPTION,LOCATION_CATEGORY_DESCRIPTION,GRADES_TEXT,GRADES_FINAL_TEXT,OPEN_DATE,STATUS_DESCRIPTIONS,PRIMARY_BUILDING_CODE,PRIMARY_ADDRESS_LINE_1,STATE_CODE,X_COORDINATE,Y_COORDINATE,COMMUNITY_DISTRICT,COUNCIL_DISTRICT,CENSUS_TRACT,BOROUGH_BLOCK_LOT,NTA,NTA_NAME,PRINCIPAL_NAME,PRINCIPAL_TITLE,PRINCIPAL_PHONE_NUMBER,FAX_NUMBER,GEOGRAPHICAL_DISTRICT_CODE,ADMIN_DISTRICT_LOCATION_CODE,ADMINISTRATIVE_DISTRICT_NAME,COMMUNITY_SCHOOL_SUP_NAME,FIELD_SUPPORT_CENTER_NAME,FIELD_SUPPORT_CENTER_LEADER_NAME,SCHOOL_SUPPORT_TEAM_NAME,SCHOOL_SUPPORT_TEAM_LEADER_NAME,HIGHSCHOOL_NETWORK_LOCATION_CODE,HIGHSCHOOL_NETWORK_NAME,HIGHSCHOOL_NETWORK_SUPERINTENDENT,Location 1
0,,2025260083,1969.0,0.0,0.0,,1004129.0,244090.0,2018,09X126      ,X126,P.S. 126 Dr Marjorie H Dunbar,320900010126,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05,06",07/01/1971 12:00:00 AM,Open,X126,175 WEST 166 STREET,NY,1004118.0,243814.0,204,16,19900,2025260083,BX26,Highbridge                                                                 ,NADINE KEE FOSTER,PRINCIPAL,718-681-6120,718-681-6131,9,X809,COMMUNITY SCHOOL DISTRICT 09,"RODRIGUEZ-ROSARIO, LETICIA",Field Support Center - Bronx,"RUIZ, JOSE",School Support Team 8- Bronx,,,,,"175 WEST 166 STREET
BRONX, NY 10452
(40.835866, -73.9282)"
1,,1019330020,2011.0,0.0,0.0,,998598.0,235315.0,2018,84M284      ,M284,Harlem Children's Zone Promise Academy 1 Charter S,310500860864,Charter,General Academic,K-12 all grades,"0K,01,02,03,04,05,06,07,08,09,10,11,12","0K,01,02,03,04,05,06,07,08,09,10,11,12",09/08/2004 12:00:00 AM,Open,M908,245 West 129th Street,NY,998600.0,235286.0,110,9,22400,1019330020,MN03,Central Harlem North-Polo Grounds                                          ,Tonya White/Shakira Petit,PRINCIPAL,212-534-0700,212-289-0661,5,,OFFICE OF CHARTER SCHOOLS,,,,,,,,,"245 West 129th Street
New York, NY 10027
(40.811882, -73.947317)"
2,,4093210001,1931.0,0.0,0.0,,1030332.0,192591.0,2018,27Q475      ,Q475,Richmond Hill High School,342700011475,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",07/01/1929 12:00:00 AM,Open,Q475,89-30 114 STREET,NY,1030333.0,192590.0,409,28,12400,4093210001,QN54,Richmond Hill                                                              ,Neil Ganesh,I.A. PRINCIPAL,718-846-3335,718-847-0980,27,HS09,,,Field Support Center - Queens South,"WILKS, MARLENE",School Support Team 1- Queens South,,HS09,H.S. Network 09 Superintendent Office,"ALCOFF, MICHAEL","89-30 114 STREET
QUEENS, NY 11418
(40.695171, -73.833815)"
3,,1017680021,1960.0,0.0,0.0,,1001034.0,230970.0,2018,04M007      ,M007,P.S. 007 Samuel Stern,310400010007,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",07/01/1959 12:00:00 AM,Open,M007,160 EAST 120 STREET,NY,1001035.0,230969.0,111,8,19600,1017680021,MN34,East Harlem North                                                          ,David Graeber,I.A. PRINCIPAL,212-860-5827,212-860-6070,4,M804,COMMUNITY SCHOOL DISTRICT 04,"ESTRELLA, ALEXANDRA",Field Support Center - Manhattan,"CHU, YUET",School Support Team 6- Manhattan,,,,,"160 EAST 120 STREET
MANHATTAN, NY 10035
(40.800616, -73.939374)"
4,,1017680021,1960.0,0.0,0.0,,1001034.0,230970.0,2018,04M406      ,M406,Global Technology Preparatory,310400010406,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",07/01/2009 12:00:00 AM,Open,M007,160 EAST 120 STREET,NY,1001035.0,230969.0,111,8,19600,1017680021,MN34,East Harlem North                                                          ,ROBERT PERALES,I.A. PRINCIPAL,212-722-1395,212-722-5864,4,M804,COMMUNITY SCHOOL DISTRICT 04,"ESTRELLA, ALEXANDRA",Field Support Center - Manhattan,"CHU, YUET",School Support Team 6- Manhattan,,,,,"160 EAST 120 STREET
MANHATTAN, NY 10035
(40.800616, -73.939374)"
5,,1020360047,1920.0,0.0,0.0,,1001455.0,240155.0,2018,05M318      ,M318,Thurgood Marshall Academy Lower School,310500010318,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",07/01/2005 12:00:00 AM,Open,M371,276 WEST 151ST STREET,NY,1001455.0,240156.0,110,9,23600,1020360047,MN03,Central Harlem North-Polo Grounds                                          ,DAWN BROOKS DECOSTA,PRINCIPAL,212-368-8731,212-368-8641,5,M805,COMMUNITY SCHOOL DISTRICT 05,"RUX, DANIKA",Field Support Center - Manhattan,"CHU, YUET",School Support Team 6- Manhattan,,,,,"276 WEST 151ST STREET
MANHATTAN, NY 10039
(40.825831, -73.937833)"
6,,3017590013,1965.0,0.0,0.0,,998848.0,192283.0,2018,14K023      ,K023,P.S. 023 Carter G. Woodson,331400010023,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1966 12:00:00 AM,Open,K023,545 WILLOUGHBY AVENUE,NY,998876.0,192295.0,303,36,25901,3017590013,BK75,Bedford                                                                    ,Joseph Mattina,I.A. PRINCIPAL,718-387-0375,718-302-2312,14,K814,COMMUNITY SCHOOL DISTRICT 14,"WINNICKI, ALICJA",Field Support Center - Brooklyn North,"FITZGERALD, BERNADETTE",School Support Team 4- Brooklyn North,,,,,"545 WILLOUGHBY AVENUE
BROOKLYN, NY 11206
(40.69447, -73.947256)"
7,,3017590013,1965.0,0.0,0.0,,998848.0,192283.0,2018,84K701      ,K701,Brooklyn Charter School,331400860809,Charter,General Academic,Elementary,"0K,01,02,03,04,05","0K,01,02,03,04,05",04/04/2000 12:00:00 AM,Open,K023,545 WILLOUGHBY AVENUE,NY,998876.0,192295.0,303,36,25901,3017590013,BK75,Bedford                                                                    ,Omigbade Escayg,PRINCIPAL,718-302-2085,718-302-2426,14,,OFFICE OF CHARTER SCHOOLS,,,,,,,,,"545 WILLOUGHBY AVENUE
BROOKLYN, NY 11206
(40.69447, -73.947256)"
8,,3047390001,1939.0,2014.0,0.0,,1004897.0,175315.0,2018,18K244      ,K244,P.S. 244 Richard R. Green,331800010244,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1939 12:00:00 AM,Open,K244,5404 TILDEN AVENUE,NY,1004898.0,175315.0,317,45,94600,3047390001,BK96,Rugby-Remsen Village                                                       ,Deon Edwards,PRINCIPAL,718-346-6240,718-345-3083,18,K818,COMMUNITY SCHOOL DISTRICT 18,"WILKINS, BEVERLY",Field Support Center - Brooklyn South,Mauriciere de Govia,School Support Team 3- Brooklyn South,,,,,"5404 TILDEN AVENUE
BROOKLYN, NY 11203
(40.647851, -73.925592)"
9,,3047390001,1939.0,2014.0,0.0,,1004897.0,175315.0,2018,18K763      ,K763,Brooklyn Science and Engineering Academy,331800010763,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",07/01/2014 12:00:00 AM,Open,K244,5404 TILDEN AVENUE,NY,1004898.0,175315.0,317,45,94600,3047390001,BK96,Rugby-Remsen Village                                                       ,ANGELA DEFILIPPIS,PRINCIPAL,718-240-3790,718-240-3791,18,K818,COMMUNITY SCHOOL DISTRICT 18,"WILKINS, BEVERLY",Field Support Center - Brooklyn South,Mauriciere de Govia,School Support Team 3- Brooklyn South,,,,,"5404 TILDEN AVENUE
BROOKLYN, NY 11203
(40.647851, -73.925592)"
