Primary_building_code,Borough_block_lot
K001,3007550022.0
K002,3050500051.0
K003,3019980001.0
K005,3014900001.0
K006,3051030079.0
K007,3041060039.0
K008,3002110001.0
K009,3011450026.0
K010,3008690001.0
K011,3019620010.0
K012,3014570032.0
K013,3038230001.0
K014,3074240001.0
K015,3005660001.0
K016,3021770001.0
K017,3023450001.0
K018,3027870001.0
K019,3024230001.0
K020,3020910003.0
K021,3016920017.0
K022,3011480050.0
K023,3017590013.0
K024,3007010001.0
K025,3017870014.0
K026,3016160001.0
K027,3005250001.0
K029,3003110001.0
K031,3025950001.0
K032,3004370001.0
K033,3017430018.0
K034,3026220028.0
K035,3016740011.0
K038,3001910001.0
K039,3010000001.0
K040,3015180001.0
K041,3036040001.0
K043,3087670026.0
K044,3018210001.0
K045,3034270011.0
K046,3020450011.0
K048,3055190001.0
K049,3030250001.0
K050,3024190001.0
K051,3009810111.0
K052,3074740001.0
K054,3017650015.0
K055,3014480001.0
K056,3019830010.0
K057,3016160001.0
K058,3004490015.0
K059,3017490001.0
K061,3013160015.0
K062,3053910001.0
K066,3081290060.0
K067,3020390002.0
K068,3080180001.0
K069,3057350032.0
K071,3022270001.0
K072,3040690001.0
K073,3015280001.0
K075,3033140001.0
K078,3083880002.0
K081,3016020019.0
K084,3023910001.0
K085,3020080001.0
K086,3032890027.0
K088,3008800001.0
K090,3072660040.0
K091,3047940026.0
K092,3050490055.0
K093,3018680007.0
K094,3007920026.0
K095,3071230066.0
K096,3065950033.0
K097,3066670024.0
K099,3065350011.0
K100,3072810001.0
K101,3068750032.0
K102,3058900001.0
K104,3060880001.0
K105,3057020001.0
K106,3033760034.0
K107,3011010001.0
K108,3039260045.0
K110,3026880042.0
K111,3031850001.0
K112,3061800001.0
K113,3021030004.0
K114,3081600022.0
K115,3082560001.0
K116,3033170001.0
K117,3019260010.0
K119,3077860001.0
K120,3031370026.0
K121,3054951101.0
K123,3032100001.0
K124,3010340001.0
K126,3027120001.0
K127,3059730001.0
K128,3063290032.0
K130,3053190001.0
K131,3056030001.0
K132,3027590001.0
K135,3046730001.0
K136,3007130020.0
K137,3015100001.0
K138,3012330026.0
K139,3051440064.0
K142,3003690001.0
K145,3031530011.0
K147,3030910001.0
K148,3017260014.0
K149,3037740016.0
K150,3037440009.0
K151,3034060001.0
K152,3075510026.0
K153,3072910030.0
K154,3052570001.0
K155,3015520043.0
K157,3018970013.0
K158,3040150001.0
K159,3042160001.0
K160,3056530021.0
K161,3012970026.0
K162,3032120001.0
K163,3063990040.0
K164,3056000001.0
K165,3036220023.0
K166,3043490050.0
K167,3013890035.0
K169,3007320001.0
K170,3058990001.0
K171,3041340020.0
K172,3006690001.0
K174,3038020015.0
K175,3035410001.0
K176,3057740001.0
K177,3066310001.0
K178,3014400056.0
K179,3053710001.0
K180,3054920001.0
K181,3049040010.0
K183,3035970011.0
K184,3036060001.0
K185,3060430001.0
K186,3062390001.0
K188,3070060001.0
K189,3045990001.0
K190,3038380018.0
K191,3013750012.0
K192,3054450001.0
K193,3076250001.0
K194,3073930001.0
K195,3087520035.0
K196,3030460001.0
K197,3067690018.0
K198,3049880066.0
K199,3067400025.0
K200,3064070008.0
K201,3062780022.0
K202,3044770001.0
K203,3078490001.0
K204,3062940001.0
K205,3055710001.0
K206,3073810201.0
K207,3084840001.0
K208,3047690025.0
K209,3072440001.0
K210,3013670022.0
K211,3082270001.0
K212,3069170001.0
K213,3043240001.0
K214,3042430001.0
K215,3066810169.0
K216,3071960001.0
K217,3052320001.0
K218,3042780001.0
K219,3046480001.0
K220,3007780023.0
K221,3014230014.0
K222,3077060001.0
K223,3053620021.0
K224,3045290133.0
K225,3087120056.0
K226,3065490024.0
K227,3055510018.0
K228,3070840001.0
K229,3063910024.0
K230,3053230032.0
K232,3046060025.0
K233,3047530001.0
K234,3068210244.0
K235,3048440001.0
K236,3084640001.0
K237,3066180001.0
K238,3066400013.0
K239,3069650140.0
K240,3076290030.0
K241,3011880001.0
K242,3081880001.0
K243,3013470001.0
K244,3047390001.0
K246,3051100025.0
K247,3061740036.0
K249,3050750001.0
K250,3030600001.0
K251,3077580001.0
K252,3046690037.0
K253,3086660610.0
K254,3074200026.0
K255,3068210123.0
K256,3017840020.0
K257,3031140011.0
K258,3018450001.0
K259,3059230001.0
K260,3081580040.0
K261,3001880014.0
K262,3016710019.0
K263,3035420001.0
K264,3060620141.0
K265,3020280001.0
K268,3046230028.0
K269,3049940023.0
K270,3019230001.0
K271,3015500001.0
K272,3083290250.0
K273,3044010001.0
K274,3032410037.0
K275,3036360007.0
K276,3080340001.0
K277,3085900650.0
K278,3084960100.0
K279,3082300001.0
K280,3008890001.0
K281,3068910001.0
K282,3009500024.0
K284,3035440135.0
K285,3047440001.0
K286,3074470001.0
K287,3001110001.0
K288,3070540045.0
K289,3012290028.0
K290,3039490018.0
K291,3033430001.0
K292,3037400001.0
K293,3004020001.0
K296,3034160001.0
K297,3017390011.0
K298,3035070007.0
K299,3033580001.0
K302,3039690001.0
K303,3072500025.0
K304,3017730014.0
K305,3018190014.0
K306,3043920001.0
K307,3000560007.0
K308,3016300001.0
K309,3016430036.0
K310,3057290024.0
K312,3083930001.0
K313,3001400010.0
K314,3008620012.0
K316,3011670018.0
K317,3009400111.0
K318,3022460001.0
K319,3024240001.0
K320,3013010001.0
K321,3009710028.0
K324,3016360001.0
K327,3035200008.0
K328,3037680001.0
K329,3070510001.0
K331,3058910048.0
K332,3036930001.0
K333,3007230025.0
K335,3013550023.0
K338,3053420006.0
K345,3039900001.0
K346,3044520025.0
K356,3035350016.0
K364,3044520040.0
K366,3082150012.0
K369,3001720055.0
K370,3072740107.0
K371,3006960031.0
K376,3032870001.0
K377,3033600001.0
K380,3022360009.0
K383,3032980001.0
K384,3034420001.0
K390,3013700029.0
K391,3048060001.0
K395,3050220002.0
K396,3035200008.0
K397,3048150020.0
K398,3045950215.0
K399,3051110001.0
K400,3068830001.0
K405,3075530041.0
K410,3072540001.0
K415,3047420001.0
K420,3040940001.0
K422,3044490001.0
K425,3067880001.0
K430,3020980013.0
K435,3037880001.0
K437,3053210064.0
K440,3011870001.0
K445,3062710001.0
K450,3030160001.0
K455,3017010001.0
K458,3018230038.0
K460,3010820001.0
K465,3051030010.0
K470,3048110001.0
K480,3033650098.0
K485,3058500030.0
K486,3057450029.0
K490,3060130001.0
K495,3074250002.0
K500,3082220001.0
K505,3055060006.0
K515,3079980005.0
K520,3001690009.0
K525,3067340109.0
K535,3087600060.0
K540,3071850020.0
K554,3033440136.0
K564,3006880026.0
K580,3001310001.0
K590,3012890025.0
K600,3011870001.0
K610,3026700001.0
K611,3000367504.0
K615,3041550075.0
K620,3072610201.0
K625,3012160046.0
K650,3023300011.0
K655,3001920013.0
K660,3037040001.0
K677,3033060015.0
K682,3007770001.0
K721,3063290032.0
K722,3071850020.0
K728,3070200039.0
K735,3051210032.0
K763,3009980001.0
K778,3022070002.0
K781,3055870038.0
K783,3016730001.0
K784,3020110039.0
K798,3041020019.0
K804,3003970011.0
K805,3001200020.0
K806,3001740001.0
K807,3063990040.0
K814,3039520047.0
K824,3012670001.0
K825,3005750003.0
K834,3004550001.0
K845,3008800001.0
K849,3054160048.0
K852,3077750001.0
K857,3043270024.0
K860,3046500015.0
K865,3032420001.0
K874,3011640064.0
K884,3051030101.0
K894,3015540016.0
K902,3009410050.0
K906,3001070001.0
K907,3035080012.0
K909,3011410005.0
K913,3032300027.0
K914,3018880034.0
K917,3053220069.0
K971,3057990038.0
K987,3014820001.0
K990,3005390024.0
K994,3018120001.0
KAEX,3017890012.0
KAFM,3017800033.0
KAGD,0.0
KAGI,3053160001.0
KAIX,3035600018.0
KAJJ,3048770001.0
KAJP,3033990001.0
KAJS,3044640025.0
KAJY,3052160069.0
KAKB,3015910045.0
KAKM,3043540026.0
KAKO,3054240029.0
KAKT,3041740067.0
KAMH,3043480001.0
KAQX,3016330058.0
KAWR,3006340034.0
KBEQ,3020160030.0
KBGH,3046330050.0
KBNU,3008890001.0
KBVT,0.0
KBXV,0.0
KBXX,0.0
KBYQ,0.0
KBZT,3084701091.0
KCGR,3008160001.0
KCGY,3008070046.0
KCQF,3001470044.0
KCTL,3068520018.0
KCVO,3000770001.0
L001,0.0
M001,1002790040.0
M002,1002730001.0
M003,1005850041.0
M004,1021180022.0
M005,1021500030.0
M006,1014930021.0
M007,1017680021.0
M008,1021120001.0
M009,1012140029.0
M010,1020160100.0
M011,1007440024.0
M013,1016120050.0
M015,1003740020.0
M017,1010380014.0
M019,1004530034.0
M020,1003550001.0
M022,1003350001.0
M025,1003540080.0
M028,1021070026.0
M030,1017760020.0
M033,1007240023.0
M034,1003810038.0
M036,1018500002.0
M040,1009250012.0
M041,1006060049.0
M042,1003090001.0
M043,1019840033.0
M044,1011480014.0
M045,1017970100.0
M046,1021060050.0
M047,1009040024.0
M048,1021670029.0
M050,1016940001.0
M052,1022330020.0
M054,1018620011.0
M056,1002690041.0
M057,1016400139.0
M058,1010430022.0
M060,1004390017.0
M061,1003940012.0
M063,1004310014.0
M064,1003870001.0
M066,1015680008.0
M070,1007410010.0
M072,1016320011.0
M075,1012530065.0
M076,1019260017.0
M079,1017470001.0
M083,1016590012.0
M084,1012050006.0
M087,1011490007.0
M088,1018300019.0
M089,1000160221.0
M090,1021120058.0
M092,1019390011.0
M093,1020840129.0
M096,1017840012.0
M097,1003250025.0
M098,1022290012.0
M099,1016930001.0
M101,1016390003.0
M102,1016840101.0
M104,1009260001.0
M107,1016330013.0
M108,1016140021.0
M110,1003310140.0
M111,1010620003.0
M112,1018160001.0
M113,1018280015.0
M114,1015540032.0
M115,1021330040.0
M116,1009130007.0
M117,1016560100.0
M118,1012230005.0
M121,1016520016.0
M123,1020420035.0
M124,1002890001.0
M125,1019640012.0
M126,1001110160.0
M128,1021250001.0
M129,1019570010.0
M130,1002360038.0
M131,1003010003.0
M132,1021650026.0
M133,1017550001.0
M134,1002880001.0
M136,1019600001.0
M137,1002450007.0
M140,1003440001.0
M142,1003430001.0
M143,1021550035.0
M144,1019060011.0
M145,1018590001.0
M146,1017000001.0
M149,1016010001.0
M152,1021730001.0
M153,1020780019.0
M154,1019320010.0
M155,1016890005.0
M158,1014890001.0
M161,1019710001.0
M163,1018520099.0
M164,1021110024.0
M165,1018800013.0
M166,1012190047.0
M167,1014300005.0
M169,1015167502.0
M170,1016550038.0
M171,1016090007.0
M173,1021420154.0
M175,1019190006.0
M176,1022340007.0
M177,1019237501.0
M178,1021710036.0
M180,1019460001.0
M183,1014610007.0
M185,1015950015.0
M187,1021790365.0
M188,1003560100.0
M189,1021590051.0
M190,1015450005.0
M191,1011520029.0
M192,1019880200.0
M194,1020290011.0
M195,1020010005.0
M197,1017330017.0
M198,1015240023.0
M199,1011580040.0
M200,1020160100.0
M202,1018250017.0
M206,1018160001.0
M207,1016010001.0
M208,1015950015.0
M218,1021720016.0
M223,1019570001.0
M234,1001420025.0
M263,1022260041.0
M267,1014180007.0
M271,1013730001.0
M276,1000160040.0
M281,1009670001.0
M282,1000220013.0
M306,1010650001.0
M323,1006030049.0
